title,researcher,institution,start_date,project_url
神経変性疾患モデルマーモセット開発と新規発生工学技術の開発研究,佐々木 えりか,実験動物中央研究所,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
脳科学研究に最適な実験動物としてのコモンマーモセット：繁殖・飼育・供給方法に関する研究,和田 圭司,国立精神・神経医療研究センター,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
体格の良いマーモセットの飼育法の確立と個体の供給,中村 克樹,京都大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
マーモセット研究の支援基盤の構築,佐々木 えりか,実験動物中央研究所,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
双方向トランスレーショナルアプローチによる精神疾患の脳予測性障害機序に関する研究開発,小池 進介,東京大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
パーキンソン病発症前から発症後に連続する神経回路病態の解明とトランスレータブル指標の開発,高橋 良輔,京都大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
精神疾患モデルマーモセットの自家移植法による作製および解析,饗場 篤,東京大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
神経変性疾患のタンパク凝集・伝播病態と回路障害の分子イメージング研究,樋口 真人,量子科学技術研究開発機構,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
精神疾患のヒトゲノム変異を基盤とする神経回路・分子病態に関する研究,貝淵 弘三,名古屋大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
アルツハイマー病におけるAβ誘導性タウ凝集病態伝播・神経回路変容機構の解明,富田 泰輔,東京大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
脳ゲノム情報解析による精神疾患関連神経回路の同定と機能解明,岩本 和也,熊本大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
先端レーザー光技術を駆使した高速超解像in vivo3Dイメージング法の研究,根本 知己,北海道大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
細胞内シグナル伝達系の光操作による革新的シナプス可塑性介入技術の研究開発,渡部 文子,東京慈恵会医科大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
活動痕跡の多重化標識と全光学的検索に基づく回路機能解明技術開発,尾藤 晴彦,東京大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
神経動態の多重スケール機能マッピング法の開発,喜多村 和郎,山梨大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
新規ウイルスベクターシステムを用いた霊長類脳への遺伝子導入技術に関する研究開発,高田 昌彦,京都大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
脳深部計測のための音響光技術開発,中川 桂一,東京大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
大脳皮質・皮質下回路機構に迫る多領域間マルチリンク解析法の洗練化,礒村 宜和,玉川大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
神経回路および神経細胞微細構造の相関顕微鏡観察に関する研究開発,平林 祐介,東京大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
遺伝子改変マーモセット作製にかかる革新的胚操作システムの開発,笹岡 俊邦,新潟大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
生体脳深部イメージングの限界を打破する革新的ナノ薄膜の開発,岡村 陽介,東海大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
マーモセットにおける高効率・長遺伝子導入技術の開発,富岡 郁夫,信州大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
革新脳データベースに基づいたデータ駆動型統合モデルの開発,中江 健,京都大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
マーモセット運動野広域高解像度機能マッピング法の開発,蝦名 鉄平,東京大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
ATUM-SEM法を用いた大脳皮質局所神経回路の超微細構造3次元解析の標準化と迅速化,窪田 芳之,生理学研究所,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
脳状態情報と刺激関連情報の線形結合による脳活動モデリング法の開発,近添 淳一,生理学研究所,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
ワイヤレス電力伝送システムを用いた新規神経回路光操作法の開発,今吉 格,京都大学,2019-05-22 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00016.html
安静時脳波により超早期認知症を検知・識別する人工知能の開発と検証,池田 学,大阪大学,2019-04-26 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00017.html
認知症予防を目指した多因子介入によるランダム化比較研究,荒井 秀典,国立長寿医療研究センター,2019-04-26 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00017.html
軽度認知症者と家族介護者へのグループ型同時介入プログラムの効果検証,斎藤 民,国立長寿医療研究センター,2019-04-26 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00017.html
認知症に対する非薬物療法のエビデンス創出に資するデータ品質一元管理センターの基盤構築と継続的研究支援のための体制整備,平川 晃弘,東京大学,2019-04-26 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00017.html
レボドパ誘発ジスキネジアの治療薬の開発,,株式会社三和化学研究所,2019-04-26 00:00:00,https://www.amed.go.jp/koubo/06/01/0601C_00053.html
新規重症筋無力症治療薬の開発（NPO-15),,日本製薬株式会社,2019-04-26 00:00:00,https://www.amed.go.jp/koubo/06/01/0601C_00053.html
網羅的ゲノム解析とインフォマティクス統合解析による認知症の新規病態解析,池内　健,新潟大学,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00013.html
病原性シードの構造生物学的理解に基づくαシヌクレイン伝播分子機構解明,富田　泰輔,東京大学,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00013.html
アポＥ遺伝子型と性差に関わる認知症リスクを低減する食品関連因子の解明,山田　正仁,金沢大学,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00013.html
