project_id_original,project_id,researcher,title,institution,award_amount
CB-2002,39463,J. Alejandro Buentello García,"Metabolismo de Arginina en Peces Cultivados: Caracterización de la Síntesis Endógena, Inmunomodulación y Homeostasis","Centro de Investigaciones Biológicas del Noroeste, S.C.",1826162
CB-2002,39467,Sergio Ticul Alvarez Castañeda,Taxonomia molecular de mamiferos,"Centro de Investigaciones Biológicas del Noroeste, S.C.",512050
CB-2002,39479,Diana Reséndez Pérez,Regulación Transcripcional de Antennapedia en Drosophila melanogaster,Universidad Autónoma de Nuevo León,1438637
CB-2002,39483,Reynaldo Ariel Álvarez Morales,"Análisis de la interacción Pseudomonas syringae pv. phaseolicola ¿ Frijol mediante el uso de microarreglos para identificar genes de expresión diferencial en el fitopatógeno, y caracterización de genes involucrados en la síntesis de faseolotoxina.",Centro de Investigación y de Estudios Avanzados del IPN,1294684
CB-2002,39485,Jesus Alberto Olivares Reyes,Estudios de los mecanismos de accion y regulacion de los receptores del tipo 2 (at2) para la hormona  angiotensina II,Centro de Investigación y de Estudios Avanzados del IPN,1148076
CB-2002,39487,MARIA DE LA LUZ OLVERA AMADOR,FABRICACION  Y  ESTUDIO DE PELICULAS DELGADAS DE OXIDOS  SEMICONDUCTORES PARA SER APLICADAS COMO ELECTRODOS TRANSPARENTES  Y  SENSORES  QUIMICOS  DE  GASES,Centro de Investigación y de Estudios Avanzados del IPN,1197103
CB-2002,39500,Cecilia Anaya Berríos,Aplicación en Síntesis Asimétrica de Compuestos y Heterociclos Nitrogenados Quirales.,Universidad de las Américas-Puebla,3306126
CB-2002,39509,Dariel Tovar Ramírez,Efecto de las poliaminas sobre la capacidad digestiva del huachinango Lutjanus peru.,"Centro de Investigaciones Biológicas del Noroeste, S.C.",376249
CB-2002,39510,Felipe de Jesús Ascencio Valle,Caracterización bioquímica y molecular de adhesinas antigénicas de Aeromonas,"Centro de Investigaciones Biológicas del Noroeste, S.C.",884016
CB-2002,39511,Miguel Angel Vargas Mejia,"Estudio molecular, bioquimico y celular de diferentes factores intercambiadores de guanina (gefs) en entamoeba histolytica  responsables para la  activacion de las gtpasas de la familia ras.",Centro de Investigación y de Estudios Avanzados del IPN,560602
CB-2002,39512,Guillermo Avila Flores,Alteraciones en el acoplamiento excitación-contracción en la enfermedad de los cuerpos centrales,Centro de Investigación y de Estudios Avanzados del IPN,1306727
CB-2002,39514,David Hilario Covarrubias Rosales,Modelado y Simulación de Algoritmos  de la Dirección de Llegada (DOA) y Conformación Digital de Haz (DBF) Aplicados  a Comunicaciones Móviles Celulares con Antenas Inteligentes,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",667374
CB-2002,39517,Jesús Gerardo Dorantes Dávila,Propiedades Electrónicas de Nanoestructuras de Metales de Transición: Magnetismo a temperatura finita y propiedades magnetoanisotropicas.,Universidad Autónoma de San Luis Potosí,1075400
