project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
,,Nanoscale Studies of Chemisorption and Physisorption of DNA molecule at the Titanium dioxide/Water Interface ,Nanoscale Studies of Chemisorption and Physisorption of DNA molecule at the Titanium dioxide/Water Interface ,,,,,"Subrata MAJUMDER
Kenji YASUOKA",,"National Institute of Technology Patna 
Keio University",,,,,,,,,,,,,,,
,,Construction of p/n Heterojunction through the Self- assembly of Functional Dyes ,Construction of p/n Heterojunction through the Self- assembly of Functional Dyes ,,,,,"Ayyappanpillai AJAYAGHOSH
Shigeyuki YAGI",,"CSIR-National Institute for Interdisciplinary Science and Technology
Osaka Prefecture University",,,,,,,,,,,,,,,
,,Local structure and dynamics of hydrogen bonds in water: Supercooled water and binary mixtures,Local structure and dynamics of hydrogen bonds in water: Supercooled water and binary mixtures,,,,,"Biman BAGCHI
Shinji SAITO",,"Indian Institute of Science National Institutes of Natural Sciences
National Institutes of Natural Sciences",,,,,,,,,,,,,,,
,,Spin Hall nano-oscillator using ferromagnet /antiferromagnet heterostructures,Spin Hall nano-oscillator using ferromagnet /antiferromagnet heterostructures,,,,,"Pranaba Kishor MUDULI
Yasuhiro FUKUMA
",,"Institute of Technology, Delhi
Kyushu Institute of Technology",,,,,,,,,,,,,,,
,,Synthesis and physical properties of new superconductors using high-pressure technique,Synthesis and physical properties of new superconductors using high-pressure technique,,,,,"Sonachalam ARUMUGAM 
Chihiro SEKINE",,"Bharathidasan University
Muroran Institute of Technology",,,,,,,,,,,,,,,
,,Integrated thin films of graphene- ionic liquids for lubrication in MEMS application ,Integrated thin films of graphene- ionic liquids for lubrication in MEMS application ,,,,,"Om Prakash KHATRI
Hiroyuki SUGIMURA",,"Indian Institute of Petroleum
Kyoto University",,,,,,,,,,,,,,,
,,Development of peptide conjugated nano-magnetic probes as cancer theranostics,Development of peptide conjugated nano-magnetic probes as cancer theranostics,,,,,"Selvamani PALANISAMY 
Yasushi TAKEMURA",,"Anna University
Yokohama National University",,,,,,,,,,,,,,,
,,Supercritical Fluid Process Development for Next Generation (Magnesium/Sodium Ion) Battery Electrode Materials ,Supercritical Fluid Process Development for Next Generation (Magnesium/Sodium Ion) Battery Electrode Materials ,,,,,"Dinesh RANGAPPA
Takaaki TOMAI",,"Visvesvaraya Technological University
Tohoku University",,,,,,,,,,,,,,,
,,Development of light-weight lattice structure with superior shock attenuation properties ,Development of light-weight lattice structure with superior shock attenuation properties ,,,,,"Mira MITRA
Tomohiro YOKOZEKI",,"Indian Institute of Technology, Kharagpur 
The University of Tokyo",,,,,,,,,,,,,,,
,,Synthesis of soft-ionic microgels and their directed self-assembly using an external electric and chemical fields ,Synthesis of soft-ionic microgels and their directed self-assembly using an external electric and chemical fields ,,,,,"Priti Sundar MOHANTY 
Junpei YAMANAKA",,"Kalinga Institute of Industrial Technology (KIIT university) 
Nagoya City University",,,,,,,,,,,,,,,
,,Novel lipid-filled high strength polymer composite for highly functional joint prosthesis application ,Novel lipid-filled high strength polymer composite for highly functional joint prosthesis application ,,,,,"Sujeet Kumar SINHA 
Yoshinori SAWAE",,"ndian Institute of Technology Delhi
Kyushu University",,,,,,,,,,,,,,,
,,Molecular epidemiological study on drug resistance of diarrheagenic Gram-negative bacteria in India ,Molecular epidemiological study on drug resistance of diarrheagenic Gram-negative bacteria in India ,,,,,"Balasubramanian GANESH
Nobumichi KOBAYASHI",,"National Institute of Epidemiology
Sapporo Medical University",,,,,,,,,,,,,,,
,,Genome Engineering of the Bombycid and Saturniid Silkmoths in Asia,Genome Engineering of the Bombycid and Saturniid Silkmoths in Asia,,,,,"Rajesh KUMAR
Toru SHIMADA",,"Central Muga Eri Research and Training Institute, Central Silk Board, Ministry of Textiles
The University of Tokyo",,,,,,,,,,,,,,,
,,Exploring the therapeutic potential of cyclic mismatch binding ligands (CMBLs) in cervical cancer sub-sets ,Exploring the therapeutic potential of cyclic mismatch binding ligands (CMBLs) in cervical cancer sub-sets ,,,,,"Sudhir KRISHNA 
Chikara DOHNO",,"National Centre for Biological Science, TataInstitute of Fundamental Research
Osaka University",,,,,,,,,,,,,,,
,,Japan-India collaborative research aspiring for conquering sickle cell disease by elucidating the developmental mechanism ,Japan-India collaborative research aspiring for conquering sickle cell disease by elucidating the developmental mechanism ,,,,,"Manisha Rajan MADKAIKAR 
Junichi FUJII",,"National Institute of Immunohaematology
Yamagata University",,,,,,,,,,,,,,,
,,Bio-inspired nano-hierarchical architecture of fabrication and maturation of spheroid based tendon-ligament tissues ,Bio-inspired nano-hierarchical architecture of fabrication and maturation of spheroid based tendon-ligament tissues ,,,,,"Subha Narayan RATH
Koichi NAKAYAMA",,"Indian Institute of Technology, Hyderabad
Saga University",,,,,,,,,,,,,,,
,,Neuro-cognitive instrumentation of validated human-robot interactions to enhance learning and developmental processes in children,Neuro-cognitive instrumentation of validated human-robot interactions to enhance learning and developmental processes in children,,,,,"Bishakh BHATTACHARYA
Hiroaki WAGATSUMA
Hiroaki WAGATSUMA",,"Indian Institute of Technology Kanpur
Kyushu Institute of Technology",,,,,,,,,,,,,,,
,,Arc accretion in the past and present and its bearing on Metallogeny,Arc accretion in the past and present and its bearing on Metallogeny,,,,,"Sajeev KRISHNAN
Tsuyoshi TOYOSHIMA",,"Indian Institute of Science
Niigata University",,,,,,,,,,,,,,,
,,Theoretical studies in explosion physics of nearby supernovae based on high-quality optical and near-infrared observational data,Theoretical studies in explosion physics of nearby supernovae based on high-quality optical and near-infrared observational data,,,,,"Devendra Kumar SAHU
Koji KAWABATA",,"Indian Institute of Astrophysics
Hiroshima University",,,,,,,,,,,,,,,
,,Developing open source tool using quantum based feature selection for high dimensional datasets,Developing open source tool using quantum based feature selection for high dimensional datasets,,,,,"Amlan CHAKRABARTI
Basabi CHAKRABORTY",,"Calcutta University
Iwate Prefectural University",,,,,,,,,,,,,,,
,,Design and Development of Real- Time Transportation Safety Monitoring System for Smart Cities,Design and Development of Real- Time Transportation Safety Monitoring System for Smart Cities,,,,,"Mohan C. KRISHNA
Masaki ITO",,"Indian Institute of Technology Hyderabad
The University of Tokyo",,,,,,,,,,,,,,,
,,Designing emergent materials,Designing emergent materials,,,,,"Priya MAHADEVAN
Jobu MATSUNO",,"S.N.Bose National Centre for Basic Sciences
RIKEN",,,,,,,,,,,,,,,
,,India-Japan Workshop on Biomolecular Electronics and Organic Nanotechnology for Environment Preservation,India-Japan Workshop on Biomolecular Electronics and Organic Nanotechnology for Environment Preservation,,,,,"Gajjala SUMANA
Hideo KISHIDA",,"National Physical Laboratory
Nagoya University",,,,,,,,,,,,,,,
,,Highly conductive CFRP using conductive polymers and nanomaterials for structural applications,Highly conductive CFRP using conductive polymers and nanomaterials for structural applications,,,,,"Sanjay DHAKATE
Takahira AOKI",,"National Physical Laboratory
The University of Tokyo",,,,,,,,,,,,,,,
INT/RUS/RFBR/P-252,,Localization of selenium and other trace elements in edible crops cultivated in seleniferous soils,Localization of selenium and other trace elements in edible crops cultivated in seleniferous soils,,,,,"N. Tejo Prakash
Margarita G. Skalnaya",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-253,,"Probing the ligand binding and structural dynamics of an enigmatic human chemokine receptor, the D6R by NMR","Probing the ligand binding and structural dynamics of an enigmatic human chemokine receptor, the D6R by NMR",,,,,"Arun K. Shukla
Alexander S. Arseniev",,,,,,,,,,,,,,,,,
