project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
 1524919N ,,,,,,,,"Anguille, Sébastien Berneman, Zwi  ",, UAntwerpen  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,, Ontwikkeling van antileukemische killer T-lymphocyten genetisch gewijzigd om T-celreceptoren tegen het Wilms' tumor 1 antigeen tot expressie te brengen.  , Ontwikkeling van antileukemische killer T-lymphocyten genetisch gewijzigd om T-celreceptoren tegen het Wilms' tumor 1 antigeen tot expressie te brengen.  ,,,
 1513619N ,,,,,,,,"Baert, Jan Lens, Luc  ",, UGent  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,," Kunnen ervaringen, eerder dan overerfbare kenmerken, intraspecifieke niche variatie teweegbrengen in langlevende soorten?  "," Kunnen ervaringen, eerder dan overerfbare kenmerken, intraspecifieke niche variatie teweegbrengen in langlevende soorten?  ",,,
 1517219N ,,,,,,,,"Baert, Yoni Goossens, Ellen  ",, VUB  ,, EUR ,30000,,, 01/01/2019 , 31/12/2019 ,,,, In-vitro differentiatie van genetisch gemodificeerde muriene spermatogoniale stamcellen  , In-vitro differentiatie van genetisch gemodificeerde muriene spermatogoniale stamcellen  ,,,
 1526819N ,,,,,,,,"Baets, Jonathan De Jonghe, Peter  ",, UAntwerpen  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,, Primaire spierdegeneratie in sporadische Inclusion-Body Myositis: combinatie van diep-proteoom data in patiënt-spierweefsel met nieuwe celmodellen om cruciale mechanismen te vinden die inflammatie en aberrante eiwit-expressie veroorzaken  , Primaire spierdegeneratie in sporadische Inclusion-Body Myositis: combinatie van diep-proteoom data in patiënt-spierweefsel met nieuwe celmodellen om cruciale mechanismen te vinden die inflammatie en aberrante eiwit-expressie veroorzaken  ,,,
 1523419N ,,,,,,,,"Borrie, Sarah Legius, Eric  ",, KU Leuven  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,," Implementatie van een geautomatiseerd, ethologisch gedragsparadigma om sociale tekorten te ontcijferen in muismodellen voor autismespectrumstoornissen.  "," Implementatie van een geautomatiseerd, ethologisch gedragsparadigma om sociale tekorten te ontcijferen in muismodellen voor autismespectrumstoornissen.  ",,,
 1501019N ,,,,,,,,"Breckpot, Karine Thielemans, Kris  ",, VUB  ,, EUR ,39400,,, 01/01/2019 , 31/12/2019 ,,,, Ontwikkeling van anti-checkpoint strategieën met behulp van nanobodies  , Ontwikkeling van anti-checkpoint strategieën met behulp van nanobodies  ,,,
 1514119N ,,,,,,,,"Broeckhoven, Chris Aerts, Peter Van Damme, Raoul  ",, UAntwerpen  ,, EUR ,37400,,, 01/01/2019 , 31/12/2019 ,,,, Fysiologische functionaliteiten van natuurlijke bepantsering: inzichten van reptielen en amfibieën  , Fysiologische functionaliteiten van natuurlijke bepantsering: inzichten van reptielen en amfibieën  ,,,
 1529019N ,,,,,,,,"Broeckhoven, Ken Desmet, Gert  ",, VUB  ,, EUR ,35000,,, 01/01/2019 , 31/12/2019 ,,,, Gedetailleerde meting en karakterisering van kolom en systeemdispersie in analytische chromatografie  , Gedetailleerde meting en karakterisering van kolom en systeemdispersie in analytische chromatografie  ,,,
 1518419N ,,,,,,,,"Brône, Bert Rigo, Jean-Michel  ",, UHasselt  ,, EUR ,39472,,, 01/01/2019 , 31/12/2019 ,,,, De glycine receptor alfa2 is een nieuwe 'target' in de behandeling van psychose  , De glycine receptor alfa2 is een nieuwe 'target' in de behandeling van psychose  ,,,
 1521619N ,,,,,,,,"Brône, Bert Rigo, Jean-Michel  ",, UHasselt  ,, EUR ,39800,,, 01/01/2019 , 31/12/2019 ,,,, p27Kip1: een moleculaire sleutel voor de microglia motiliteit  , p27Kip1: een moleculaire sleutel voor de microglia motiliteit  ,,,
 1502119N ,,,,,,,,"Caliari Oliveira, Ricardo Wenseleers, Tom  ",, KU Leuven  ,, EUR ,36500,,, 01/01/2019 , 31/12/2019 ,,,, De evolutionaire ecologie van manipulatieve en misleidende signalen in insectengemeenschappen  , De evolutionaire ecologie van manipulatieve en misleidende signalen in insectengemeenschappen  ,,,
 1518019N ,,,,,,,,"Casas Ruiz, Lidia Nemery, Benoit  ",, KU Leuven  ,, EUR ,33000,,, 01/01/2019 , 31/12/2019 ,,,, Microbiële diversiteit in de huiselijke omgeving en de ontwikkelen van het immuun- en neurologische systeem. Epidemiologisch onderzoek bij kinderen  , Microbiële diversiteit in de huiselijke omgeving en de ontwikkelen van het immuun- en neurologische systeem. Epidemiologisch onderzoek bij kinderen  ,,,
 1527719N ,,,,,,,,"Coosemans, An Swinnen, Johan  ",, KU Leuven  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,," Overwinnen van therapeutische resistentie in maligne hersentumoren: een immuun-gedreven combinatie van radiotherapie, chemotherapie en immuuntherapie.  "," Overwinnen van therapeutische resistentie in maligne hersentumoren: een immuun-gedreven combinatie van radiotherapie, chemotherapie en immuuntherapie.  ",,,
 1501719N ,,,,,,,,"Crombé, Philippe  ",, UGent  ,, EUR ,34200,,, 01/01/2019 , 31/12/2019 ,,,, Methodologisch onderzoek naar de bruikbaarheid van verbrand bot voor het dateren van het Finaal Paleolithicum en Mesolithicum via de koolstofdateringsmethode  , Methodologisch onderzoek naar de bruikbaarheid van verbrand bot voor het dateren van het Finaal Paleolithicum en Mesolithicum via de koolstofdateringsmethode  ,,,
 1518819N ,,,,,,,,"De Bock, Charles Cools, Jan  ",, KU Leuven  ,, EUR ,39600,,, 01/01/2019 , 31/12/2019 ,,,, Identificatie van DNA-gebonden transcriptionele complexen in STAT5/HOXA9 geïnduceerde leukemie  , Identificatie van DNA-gebonden transcriptionele complexen in STAT5/HOXA9 geïnduceerde leukemie  ,,,
 1512719N ,,,,,,,,"De Crop, Eske Verbeken, Anemieke  ",, UGent  ,, EUR ,22900,,, 01/01/2019 , 31/12/2019 ,,,, Het mycologisch herbarium van Universiteit Gent: een waardevolle bron van informatie verstopt in dozen  , Het mycologisch herbarium van Universiteit Gent: een waardevolle bron van informatie verstopt in dozen  ,,,
 1518619N ,,,,,,,,"De Kock, Joery Vanhaecke, Tamara  ",, VUB  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,, NEWTT: Nieuwe gentherapie voor de behandeling van erfelijke tyrosinemie type 1  , NEWTT: Nieuwe gentherapie voor de behandeling van erfelijke tyrosinemie type 1  ,,,
 1516019N ,,,,,,,,"De Leu, Nico Heimberg, Harry  ",, VUB  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,, mRNA therapie voor experimentele betaceltransplantatie  , mRNA therapie voor experimentele betaceltransplantatie  ,,,
 1514019N ,,,,,,,,"De Mey, Marjan Gheysen, Godelieve  ",, UGent  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,, Het ontsluiten van het bacteriële domein voor industriële biotechnologie toepassingen: Ontwikkelen van genetische circuits voor stabiele en gecontroleerde expressie over bacteriën heen  , Het ontsluiten van het bacteriële domein voor industriële biotechnologie toepassingen: Ontwikkelen van genetische circuits voor stabiele en gecontroleerde expressie over bacteriën heen  ,,,
 1509719N ,,,,,,,,"Vermeulen, Frank  ",, UGent  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,," de Neef, Wieke Tussen dorp en land. Gedetailleerde prospectie van pre-Romeins landgebruik in centraal-Adriatisch Italië.  "," de Neef, Wieke Tussen dorp en land. Gedetailleerde prospectie van pre-Romeins landgebruik in centraal-Adriatisch Italië.  ",,,
 1508419N ,,,,,,,,"De Spiegelaere, Ward  ",, UGent  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,, TIE receptoren als moleculaire schakelaars tussen een pro-angiogeen of bloed vat normaliserend effect van macrofagen.  , TIE receptoren als moleculaire schakelaars tussen een pro-angiogeen of bloed vat normaliserend effect van macrofagen.  ,,,
 1512619N ,,,,,,,,"De Tender, Caroline Clement, Lieven Dawyndt, Peter  ",, UGent  ,, EUR ,39089,,, 01/01/2019 , 31/12/2019 ,,,, Bye bye blackbox: het ophelderen van het werkingsmechanisme van biochar en chitine op de plantengroei en ziekteweerbaarheid.  , Bye bye blackbox: het ophelderen van het werkingsmechanisme van biochar en chitine op de plantengroei en ziekteweerbaarheid.  ,,,
 1516619N ,,,,,,,,"De Vos, Winnok Timmermans, Jean-Pierre  ",, UAntwerpen  ,, EUR ,29400,,, 01/01/2019 , 31/12/2019 ,,,, Verkenning van de gevolgen van nucleaire enveloppe stress in kankercellen  , Verkenning van de gevolgen van nucleaire enveloppe stress in kankercellen  ,,,
 1527819N ,,,,,,,,"Deckers, Julie Lambrecht, Bart  ",, UGent  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,, Effect van microbiële diversiteit van de huid op sensitizatie tegen allergenen via de huid  , Effect van microbiële diversiteit van de huid op sensitizatie tegen allergenen via de huid  ,,,
 1502519N ,,,,,,,,"Declercq, Heidi D'Herde, Katharina  ",, UGent  ,, EUR ,38200,,, 01/01/2019 , 31/12/2019 ,,,, 3D bioprinten van micro-gevascularizeerde weefsels: combinatie van cellulaire spheroiden en slimme biomaterialen  , 3D bioprinten van micro-gevascularizeerde weefsels: combinatie van cellulaire spheroiden en slimme biomaterialen  ,,,
 1524519N ,,,,,,,,"Decuypere, Jean-Paul Mekahli, Djalila  ",, KU Leuven  ,, EUR ,40000,,, 01/01/2019 , 31/12/2019 ,,,, Rol van polycystines in celdood/overleving tijdens fysiologische stress  , Rol van polycystines in celdood/overleving tijdens fysiologische stress  ,,,
 1500219N ,,,,,,,,"Defoirdt, Tom  ",, UGent  ,, EUR ,39000,,, 01/01/2019 , 31/12/2019 ,,,, Bepaling van structuur-activiteitsrelaties van indolen met betrekking tot hun virulentie inhiberende activiteit in bacteriële ziekteverwekkers  , Bepaling van structuur-activiteitsrelaties van indolen met betrekking tot hun virulentie inhiberende activiteit in bacteriële ziekteverwekkers  ,,,
