project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
249698,,Diseño de una plataforma nacional para la incorporación de la genómica en la economía de México: Tercera Fase.,,,,,,,,"Global Biotech Consulting Group, S.A. de C.V.",,,,,,,,,,,,,,,
250200,,"Fortalecimiento a las actividades de investigación, desarrollo tecnológico e innovación para incrementar la productividad y competitividad de los sectores estratégicos en México",,,,,,,,Asociación Mexicana de Directivos de la Investigación Aplicada y el Desarrollo Tecnológico A.C.,,,,,,,,,,,,,,,
250335,,Programa para el fomento de la vinculación y la transferencia tecnológica entre empresas del sector energía y centros de investigación y desarrollo tecnológico.,,,,,,,,Cámara Nacional de Manufacturas Eléctricas,,,,,,,,,,,,,,,
250662,,Intelligent Manufacturing Systems (IMS) México 2015,,,,,,,,Cámara de la Industria de Transformación de Nuevo León (CAINTRA),,,,,,,,,,,,,,,
250156,,"GeT-In 2015, Capacitación en Transferencia Tecnológica",,,,,,,,Universidad Autónoma Del Estado De Hidalgo,,,,,,,,,,,,,,,
263232,,FORTALECIMIENTO DE LOS PROGRAMAS DE POSGRADO DE LA UNIDAD SURESTE DEL CIATEJ A TRAVÉS DEL FOMENTO A LA FORMACIÓN DE RECURSOS HUMANOS EN EL DESARROLLO DE ACTIVIDADES CIENTÍFICAS Y TECNOLÓGICAS DE LAS LÍNEAS DE INVESTIGACIÓN DE LA UNIDAD,,,,,,,,CENTRO DE INVESTIGACIÓN Y ASISTENCIA EN TECNOLOGÍA Y DISEÑO DEL ESTADO DE JALISCO A.C.,,,,,,,,,,,,,,,
263350,,"FOMENTO DE LA CULTURA DE INNOVACIÓN YLIDERAZGO EN ESTUDIANTES DE POSGRADO DE INGENIERÍA, MATERIALES Y FÍSICA",,,,,,,,NSTITUTO DE ENERGÍAS RENOVABLES DE LA UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (IER),,,,,,,,,,,,,,,
263394,,FERIA NACIONAL DE CIENCIAS E INGENIERÍAS,,,,,,,,CONSEJO ESTATAL DE CIENCIA Y TECNOLOGÍA DE JALISCO,,,,,,,,,,,,,,,
251220,,"IMPLEMENTACION DE UN SISTEMA INSTITUCIONAL DE SEGUIMIENTO DEL POSGRADO DE LA UNIVERSIDAD AUTONOMA DE GUERRERO. SEGUNDA ETAPA:DESARROLLO, IMPLEMENTACION Y OPERACIÓN",,,,,,,,UNIVERSIDAD AUTONOMA DE GUERRERO,,,,,,,,,,,,,,,
250982,,ENSEÑANZA Y APRENDIZAJE DE LAS MATEMÁTICAS INTEGRANDO EL USO DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN: IMPLEMENTACIÓN DE UN MODELO DE INTERVENCIÓN PARA COMUNIDADES MARGINALES ETAPA III.,,,,,,,,ASOCIACIÓN MEXICANA DE INNOVACIÓN EN TECNOLOGÍA EDUCATIVA,,,,,,,,,,,,,,,
250834,,"PROYECTO ÍTACA 21, FASE 4: INNOVACION DOCENTE EN EL AULA BASADO EN COMPETENCIAS",,,,,,,,FUNDACIÓN VILLA APRENDIZAJE A.C,,,,,,,,,,,,,,,
250801,,"CHIC@S CODE, DISEÑO ESCALABLE DE JUEGOS: NUEVO LEÓN 2015",,,,,,,,INSTITUTO DE INNOVACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS DEL ESTADO DE NUEVO LEÓN,,,,,,,,,,,,,,,
251002,,FOMENTO A LA INCORPORACIÓN DE ESTUDIANTES DE PREGRADO Y POSGRADO EN EL DESARROLLO DE ACTIVIDADES CIENTIFICAS Y TECNOLÓGICAS EN EL ÁREA DE LA BIOTECNOLOGÍA,,,,,,,,"CENTRO DE INVESTIGACIÓN Y ASISTENCIA EN TECNOLOGÍA Y DISEÑO DEL ESTADO DE JALISCO, A.C.",,,,,,,,,,,,,,,
251159,,SEXTO CONGRESO LA INVESTIGACIÓN EN EL POSGRADO,,,,,,,,UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,,,,,,,,,,,,,,,
250916,,4to. TALLER DE FORMACION DE LÍDERES EN EQUIDAD DE GENERO Y NO VIOLENCIA CONTRA LA MUJER,,,,,,,,UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS,,,,,,,,,,,,,,,
250983,,CELEBRACIÓN 30 AÑOS DE LA UNAM EN TEMIXCO,,,,,,,,INSTITUTO DE ENERGÍAS RENOVABLES DE LA UNIVERSIDAD AUTÓNOMA DE MÉXICO,,,,,,,,,,,,,,,
260024,,Metodología para el Diseño de Modelos de Vinculación entre IES e Industria,,,,,,,,"Alianza para la Formación e Investigación en Infraestructura para el Desarrollo de México, A.C. (FIIDEM)",,,,,,,,,,,,,,,
251170,,Talleres Teorico-Practicos sobre temas prioritarios de investigación del CIO dirigidos a estudiantes de pregrado y posgrado de IES Nacionales e Internacionales,,,,,,,,"Centro de Investigaciones en Óptica, A.C.",,,,,,,,,,,,,,,
260406,,"Primer Congreso Estatal de Fomento
 a la Investigación en Tecnologías de la Información",,,,,,,,Instituto Tecnológico Superior de El Dorado,,,,,,,,,,,,,,,
260272,,Celebración Científica-Tecnológica del 25 aniversario del Tecnológico de Estudios Superiores de Ecatepec,,,,,,,,Tecnológico de Estudios Superiores de Ecatepec,,,,,,,,,,,,,,,
260449,,Enseñanza-Aprendizaje Sustentable en las Artes: Implementación de un Modelo de Intervención a través del uso de herramientas Tecnológicas para Docentes y Alumnos en Centros e Instituciones de Formación Artistica en el País,,,,,,,,Fundación INBA A.C.,,,,,,,,,,,,,,,
