award_amount,award_amount_usd,country,created_date,currency,description,description_en,description_raw,end_date,end_year,funded_date,institutation,keyword,keyword_en,project_id,project_id_original,project_term,project_url,researcher,researcher_en,source,start_date,start_year,title,title_en,updated_date
,,,,,,,,,,,University of Tartu,,,PUTJD700,PUTJD700,,,Jaanis Lodjak,,,,,Trade-off between growth and somatic maintenance – role of insulin-like growth factor 1,,
,,,,,,,,,,,University of Tartu,,,PUTJD702,PUTJD702,,,Johann Langemets,,,,,Geometry of the unit ball of a Banach space and the connections to diameter two properties,,
,,,,,,,,,,,Tallinn University of Technology,,,PUTJD705,PUTJD705,,,Kadriann Tamm,,,,,Valorization of Estonian Phosporite as a high- quality product,,
,,,,,,,,,,,University of Tartu,,,PUTJD707,PUTJD707,,,Uku Haljasorg,,,,,Determining the role of the chromatin- remodeling cohesin complex in the establishment of central tolerance,,
,,,,,,,,,,,University of Tartu,,,PUTJD708,PUTJD708,,,Maris Hindrikson,,,,,Development and application of Y chromosome markers for paternal studies of canids,,
,,,,,,,,,,,University of Tartu,,,PUTJD715,PUTJD715,,,Kuno Kasak,,,,,Wetlands restoration and assessing its impact on greenhouse gas emissions using eddy covariance techniques,,
,,,,,,,,,,,University of Tartu,,,PUTJD719,PUTJD719,,,Martin Ligi,,,,,"Study of suspended particles characteristics in rivers regions of freshwater influence, using in-situ and satellite data",,
,,,,,,,,,,,University of Tartu,,,PUTJD726,PUTJD726,,,Triin Laisk-Podar,,,,,Identification and characterisation of the genetic contribution to miscarriage using large- scale biobank data,,
,,,,,,,,,,,University of Tartu,,,PUTJD732,PUTJD732,,,Rasmus Talviste,,,,,The effect of plasma modification on the macro- and microscopic properties of wood surfaces,,
,,,,,,,,,,,Tallinn University of Technology,,,PUTJD742,PUTJD742,,,Emlyn David Qivitoq Witt,,,,,In-BIM Learning,,
,,,,,,,,,,,University of Tartu,,,PUTJD746,PUTJD746,,,Margaret Lyngdoh,,,,,Tradition and Vernacular Discourses in the Context of Local Christianities in Northeastern India,,
,,,,,,,,,,,Tallinn University of Technology,,,PUTJD749,PUTJD749,,,Irina Osadchuk,,,,,Dimeric metal- porphyrins as controllable and switchable catalysts in oxidation reactions,,
,,,,,,,,,,,University of Tartu,,,PUTJD760,PUTJD760,,,Birgit Poopuu,,,,,The Politics of Peace and Conflict Knowledge: Syria and the Diverse Landscape of Local Knowledge/Experience,,
,,,,,,,,,,,University of Tartu,,,PSG7,PSG7,,,Arvo Tullus,,,,,The role of above- and belowground competition in the growth and metabolic responses of deciduous trees to climate change,,
,,,,,,,,,,,University of Tartu,,,PSG10,PSG10,,,Kersti Kangro,,,,,WFD reporting enhancement and improved Earth Observation applications through better characterisation of absorption properties in lakes,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,,,PSG11,PSG11,,,Indrek Reile,,,,,Quantitative detection of cancer biomarkers in urine by hyperpolarized NMR,,
,,,,,,,,,,,Tallinn University of Technology,,,PSG22,PSG22,,,Victor Alari,,,,,Interplay between waves and seasonal ice cover: observational and modelling study in the Baltic Sea,,
,,,,,,,,,,,Estonian University of Life Sciences,,,PSG32,PSG32,,,Alo Laas,,,,,Modelling lake carbon fluxes from high-frequency gas exchange measurements,,
,,,,,,,,,,,University of Tartu,,,PSG38,PSG38,,,Pablo David Scodeller,,,,,Reprogramming protumoral macrophages to restore antitumor immunity. Disruption of microRNA guided by a new CD206 binding peptide,,
,,,,,,,,,,,University of Tartu,,,PSG48,PSG48,,,Elo-Hanna Seljamaa,,,,,Performative negotiations of belonging in contemporary Estonia,,
,,,,,,,,,,,University of Tartu,,,PSG59,PSG59,,,Hedi Peterson,,,,,Computational analysis and learning from biological data (OmicNet),,
,,,,,,,,,,,University of Tartu,,,PSG61,PSG61,,,Vesal Vojdani,,,,,High-Assurance Software Development With Sound Interactive Static Analysis,,
,,,,,,,,,,,University of Tartu,,,PSG70,PSG70,,,Martin Timusk,,,,,New aerogel-like oxide foam materials,,
,,,,,,,,,,,University of Tartu,,,PSG87,PSG87,,,Arto Pulk,,,,,Memory formation through translation regulation of RNA granules in mammalian neurons,,
,,,,,,,,,,,University of Tartu,,,PSG114,PSG114,,,Ago-Erik Riet,,,,,Mathematical foundations of permutation codes,,
